Date,IWM,SPY
2000-01-03,,91.61703491210938
2000-01-04,,88.03424072265625
2000-01-05,,88.1917724609375
2000-01-06,,86.77436065673828
2000-01-07,,91.81389617919922
2000-01-10,,92.12886810302734
2000-01-11,,91.02645874023438
2000-01-12,,90.12094116210938
2000-01-13,,91.34143829345703
2000-01-14,,92.5816879272461
2000-01-18,,91.853271484375
2000-01-19,,92.60138702392578
2000-01-20,,91.18396759033203
2000-01-21,,90.98713684082031
2000-01-24,,88.40827178955078
2000-01-25,,89.41226196289062
2000-01-26,,88.70357513427734
2000-01-27,,88.34925842285156
2000-01-28,,85.59327697753906
2000-01-31,,87.91614532470703
2000-02-01,,88.78227996826172
2000-02-02,,88.86105346679688
2000-02-03,,90.19967651367188
2000-02-04,,89.82566833496094
2000-02-07,,89.68787384033203
2000-02-08,,90.90835571289062
2000-02-09,,88.99889373779297
2000-02-10,,89.1760482788086
2000-02-11,,87.36493682861328
2000-02-14,,87.87677764892578
2000-02-15,,88.87091064453125
2000-02-16,,87.56182861328125
2000-02-17,,87.10902404785156
2000-02-18,,85.23890686035156
2000-02-22,,85.0223617553711
2000-02-23,,86.02633666992188
2000-02-24,,84.2939682006836
2000-02-25,,83.98888397216797
2000-02-28,,85.750732421875
2000-02-29,,86.57757568359375
2000-03-01,,87.2074966430664
2000-03-02,,87.26649475097656
2000-03-03,,88.90042877197266
2000-03-06,,88.03424072265625
2000-03-07,,86.33148193359375
2000-03-08,,86.22319030761719
2000-03-09,,88.74299621582031
2000-03-10,,88.27050018310547
2000-03-13,,87.30589294433594
2000-03-14,,86.0656509399414
2000-03-15,,88.07365417480469
2000-03-16,,92.18795013427734
2000-03-17,,92.79723358154297
2000-03-20,,92.32353210449219
2000-03-21,,94.2181625366211
2000-03-22,,94.79052734375
2000-03-23,,96.40886688232422
2000-03-24,,96.98118591308594
2000-03-27,,95.95491027832031
2000-03-28,,95.40235137939453
2000-03-29,,95.50102996826172
2000-03-30,,93.90243530273438
2000-03-31,,94.96815490722656
2000-04-03,,95.520751953125
2000-04-04,,94.8102798461914
2000-04-05,,94.2181625366211
2000-04-06,,95.03720092773438
2000-04-07,,95.63912963867188
2000-04-10,,95.26422119140625
2000-04-11,,94.98786926269531
2000-04-12,,92.38274383544922
2000-04-13,,91.0999755859375
2000-04-14,,85.88971710205078
2000-04-17,,88.88954162597656
2000-04-18,,91.2381362915039
2000-04-19,,90.38949584960938
2000-04-20,,90.8236312866211
2000-04-24,,89.83685302734375
2000-04-25,,93.56692504882812
2000-04-26,,92.51104736328125
2000-04-27,,92.20514678955078
2000-04-28,,91.63278198242188
2000-05-01,,92.87613677978516
2000-05-02,,91.0210189819336
2000-05-03,,88.88954162597656
2000-05-04,,89.56055450439453
2000-05-05,,90.64601135253906
2000-05-08,,89.96509552001953
2000-05-09,,89.24481964111328
2000-05-10,,87.23179626464844
2000-05-11,,89.22508239746094
2000-05-12,,90.192138671875
2000-05-15,,91.75119018554688
2000-05-16,,92.63931274414062
2000-05-17,,91.67227935791016
2000-05-18,,90.5473403930664
2000-05-19,,89.1263656616211
2000-05-22,,88.45538330078125
2000-05-23,,87.15280151367188
2000-05-24,,88.57380676269531
2000-05-25,,87.0541000366211
2000-05-26,32.726253509521484,87.15280151367188
2000-05-30,33.9341926574707,89.99476623535156
2000-05-31,34.057220458984375,90.192138671875
2000-06-01,34.8289794921875,91.77098083496094
2000-06-02,36.64088821411133,93.36955261230469
2000-06-05,36.50666046142578,92.9156265258789
2000-06-06,36.864566802978516,92.50118255615234
2000-06-07,36.90930938720703,93.14258575439453
2000-06-08,36.81983947753906,92.77750396728516
2000-06-09,37.46854782104492,92.58013153076172
2000-06-12,36.35564422607422,91.49465942382812
2000-06-13,36.81983947753906,93.21166229248047
2000-06-14,36.64088821411133,93.36955261230469
2000-06-15,36.685604095458984,93.56692504882812
2000-06-16,36.48429489135742,92.798095703125
2000-06-19,37.40142822265625,93.98499298095703
2000-06-20,37.64750289916992,93.64877319335938
2000-06-21,37.848045349121094,93.60916137695312
2000-06-22,36.70654296875,92.18485260009766
2000-06-23,36.46033477783203,91.3935775756836
2000-06-26,36.90800476074219,92.57063293457031
2000-06-27,36.3260612487793,91.88812255859375
2000-06-28,37.24372100830078,92.14530181884766
2000-06-29,36.661773681640625,91.27482604980469
2000-06-30,37.01429748535156,91.96724700927734
2000-07-03,37.53471374511719,93.23330688476562
2000-07-05,37.109432220458984,91.55181884765625
2000-07-06,37.5458869934082,92.26398468017578
2000-07-07,37.78089141845703,93.74761199951172
2000-07-10,38.02711486816406,93.58941650390625
2000-07-11,37.982337951660156,93.78721618652344
2000-07-12,38.743316650390625,94.40045928955078
2000-07-13,38.86642074584961,94.81588745117188
2000-07-14,38.899986267089844,95.74565887451172
2000-07-17,39.03429412841797,95.58736419677734
2000-07-18,38.36280822753906,94.8060073852539
2000-07-19,37.69137191772461,94.04435729980469
2000-07-20,38.31805419921875,95.34996032714844
2000-07-21,37.266082763671875,93.49049377441406
2000-07-24,36.72333526611328,92.95635223388672
2000-07-25,36.796085357666016,93.25306701660156
2000-07-26,36.72893142700195,92.34308624267578
2000-07-27,35.721744537353516,92.02660369873047
2000-07-28,35.09504699707031,89.94944763183594
2000-07-31,35.990318298339844,90.52314758300781
2000-08-01,35.75532150268555,91.07705688476562
2000-08-02,35.811275482177734,91.53203582763672
2000-08-03,35.788883209228516,92.1650619506836
2000-08-04,35.96794509887695,92.65965270996094
2000-08-07,36.633819580078125,93.76746368408203
2000-08-08,36.46033477783203,94.12350463867188
2000-08-09,36.19735336303711,93.33226013183594
2000-08-10,35.990318298339844,92.87723541259766
2000-08-11,36.61701965332031,93.3124771118164
2000-08-14,36.99751281738281,94.49935150146484
2000-08-15,36.46033477783203,94.42024230957031
2000-08-16,36.6393928527832,94.08391571044922
2000-08-17,36.975120544433594,95.07301330566406
2000-08-18,36.9191780090332,94.75655364990234
2000-08-21,37.053466796875,95.27084350585938
2000-08-22,36.99751281738281,95.11263275146484
2000-08-23,36.941551208496094,95.48851013183594
2000-08-24,37.489925384521484,95.78522491455078
2000-08-25,37.64659881591797,95.74565887451172
2000-08-28,37.7137336730957,96.072021484375
2000-08-29,38.07188415527344,96.09180450439453
2000-08-30,38.11661911010742,95.17198944091797
2000-08-31,38.49711608886719,96.43802642822266
2000-09-01,38.81047439575195,96.53699493408203
2000-09-05,38.5418815612793,95.76541900634766
2000-09-06,38.37400436401367,94.6773910522461
2000-09-07,38.944740295410156,95.48851013183594
2000-09-08,38.27330017089844,94.83566284179688
2000-09-11,38.31805419921875,94.6971664428711
2000-09-12,38.19496154785156,94.00479125976562
2000-09-13,38.38520050048828,94.25209045410156
2000-09-14,38.609012603759766,94.72685241699219
2000-09-15,37.89280700683594,92.65446472167969
2000-09-18,36.99751281738281,91.80166625976562
2000-09-19,37.601844787597656,92.63459014892578
2000-09-20,37.30305480957031,91.95038604736328
2000-09-21,36.60684585571289,90.55229949951172
2000-09-22,37.07846450805664,92.19830322265625
2000-09-25,37.12336349487305,91.54385375976562
2000-09-26,36.59562301635742,90.37383270263672
2000-09-27,36.427181243896484,90.84970092773438
2000-09-28,37.415340423583984,92.0197982788086
2000-09-29,37.23567581176758,91.14718627929688
2000-10-02,36.629310607910156,91.28602600097656
2000-10-03,36.09591293334961,90.43325805664062
2000-10-04,36.348567962646484,91.18688201904297
2000-10-05,35.978004455566406,91.50414276123047
2000-10-06,35.102142333984375,89.52098846435547
2000-10-09,35.02355194091797,88.84672546386719
2000-10-10,34.181358337402344,87.3791732788086
2000-10-11,34.06907653808594,86.6453628540039
2000-10-12,33.03602600097656,84.48369598388672
2000-10-13,34.31611251831055,87.29984283447266
2000-10-16,34.58561706542969,87.6964340209961
2000-10-17,33.715362548828125,85.51493835449219
2000-10-18,33.44023895263672,85.19766998291016
2000-10-19,34.47332763671875,88.41043090820312
2000-10-20,34.9112434387207,88.78719329833984
2000-10-23,35.25936508178711,89.18382263183594
2000-10-24,34.74281311035156,88.5888671875
2000-10-25,33.9680061340332,86.5065689086914
2000-10-26,34.495765686035156,86.7445297241211
2000-10-27,34.518245697021484,88.39060974121094
2000-10-30,34.675437927246094,89.18382263183594
2000-10-31,35.57377243041992,90.72083282470703
2000-11-01,35.59622573852539,90.41341400146484
2000-11-02,36.44963836669922,90.56211853027344
2000-11-03,36.40471649169922,90.61173248291016
2000-11-06,36.1240119934082,91.24639892578125
2000-11-07,36.427181243896484,91.22647857666016
2000-11-08,35.77589797973633,89.20368957519531
2000-11-09,35.39411163330078,88.8665771484375
2000-11-10,34.495765686035156,86.70486450195312
2000-11-13,34.14765930175781,86.03060913085938
2000-11-14,34.96739196777344,88.2914047241211
2000-11-15,35.416568756103516,88.569091796875
2000-11-16,34.38909912109375,87.18085479736328
2000-11-17,34.60806655883789,86.71476745605469
2000-11-20,33.70975112915039,85.47529602050781
2000-11-21,33.513240814208984,85.9115982055664
2000-11-22,32.81142044067383,83.85902404785156
2000-11-24,33.732181549072266,85.57449340820312
2000-11-27,33.82764434814453,86.32807159423828
2000-11-28,32.81142044067383,84.84069061279297
2000-11-29,32.7215690612793,84.68197631835938
2000-11-30,32.0253791809082,83.94823455810547
2000-12-01,32.74402618408203,83.90857696533203
2000-12-04,32.384708404541016,84.62255096435547
2000-12-05,33.9567756652832,87.39894104003906
2000-12-06,33.17074203491211,86.0008773803711
2000-12-07,33.080909729003906,84.82083129882812
2000-12-08,33.53009033203125,85.01915740966797
2000-12-11,35.057247161865234,87.97415161132812
2000-12-12,34.293643951416016,87.59730529785156
2000-12-13,33.65504455566406,86.39744567871094
2000-12-14,33.11922836303711,85.29679107666016
2000-12-15,32.9387321472168,83.37020874023438
2000-12-18,33.435089111328125,84.48420715332031
2000-12-19,32.84850311279297,82.76350402832031
2000-12-20,31.810705184936523,80.36646270751953
2000-12-21,32.05887222290039,80.92342376708984
2000-12-22,33.38994598388672,83.3503646850586
2000-12-26,33.58171844482422,84.24553680419922
2000-12-27,34.47288131713867,84.86219787597656
2000-12-28,35.57836151123047,85.12079620361328
2000-12-29,34.56312942504883,83.50948333740234
2001-01-02,33.356117248535156,81.9976577758789
2001-01-03,34.737972259521484,85.93643951416016
2001-01-04,34.29240798950195,85.0113754272461
2001-01-05,33.232025146484375,82.23635864257812
2001-01-08,33.34485626220703,82.87293243408203
2001-01-09,33.29407501220703,82.65409851074219
2001-01-10,34.36008834838867,84.10630798339844
2001-01-11,34.82820510864258,84.18583679199219
2001-01-12,34.92409133911133,84.0267562866211
2001-01-16,35.62347412109375,84.56383514404297
2001-01-17,35.60091018676758,84.95172882080078
2001-01-18,35.73628616333008,85.79713439941406
2001-01-19,35.104576110839844,85.30976104736328
2001-01-22,35.35274887084961,85.87677764892578
2001-01-23,36.23263168334961,86.5530776977539
2001-01-24,36.09725570678711,86.81167602539062
2001-01-25,35.961883544921875,86.59286499023438
2001-01-26,35.961883544921875,86.4933853149414
2001-01-29,36.692867279052734,86.95487976074219
2001-01-30,36.931095123291016,87.71883392333984
2001-01-31,36.4221305847168,87.22229766845703
2001-02-01,36.68924331665039,87.80155181884766
2001-02-02,35.869834899902344,85.80909729003906
2001-02-05,35.942039489746094,86.43929290771484
2001-02-06,36.51238250732422,86.18470001220703
2001-02-07,36.60262680053711,85.73905181884766
2001-02-08,36.0539436340332,84.73966217041016
2001-02-09,35.59188461303711,83.9248275756836
2001-02-12,36.38603591918945,84.88607788085938
2001-02-13,36.043094635009766,84.19222259521484
2001-02-14,36.4221305847168,84.06489562988281
2001-02-15,36.60262680053711,84.87966918945312
2001-02-16,35.812076568603516,83.0082015991211
2001-02-20,35.396968841552734,81.72870635986328
2001-02-21,34.77971267700195,79.96541595458984
2001-02-22,34.29240798950195,80.08635711669922
